광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원도,고성군,2.70828081E8,3.5,1.3106067E7,4.8
강원도,춘천시,2.70828081E8,3.5,3.2425752E7,12.0
강원도,원주시,2.70828081E8,3.5,3.1618315E7,11.7
강원도,강릉시,2.70828081E8,3.5,3.5777645E7,13.2
강원도,동해시,2.70828081E8,3.5,1.2012945E7,4.4
강원도,태백시,2.70828081E8,3.5,5309235.0,2.0
강원도,속초시,2.70828081E8,3.5,2.5063594E7,9.3
강원도,삼척시,2.70828081E8,3.5,1.1758457E7,4.3
강원도,홍천군,2.70828081E8,3.5,1.7472088E7,6.5
강원도,횡성군,2.70828081E8,3.5,1.2905252E7,4.8
강원도,영월군,2.70828081E8,3.5,6954135.0,2.6
강원도,평창군,2.70828081E8,3.5,1.7041032E7,6.3
강원도,정선군,2.70828081E8,3.5,9005600.0,3.3
강원도,철원군,2.70828081E8,3.5,7149181.0,2.6
강원도,화천군,2.70828081E8,3.5,4253311.0,1.6
강원도,양구군,2.70828081E8,3.5,2859265.0,1.1
강원도,인제군,2.70828081E8,3.5,9283383.0,3.4
강원도,양양군,2.70828081E8,3.5,1.6832824E7,6.2
경기도,고양시 덕양구,1.829878072E9,23.9,6.3964122E7,3.5
경기도,고양시 일산동구,1.829878072E9,23.9,6.11746E7,3.3
경기도,고양시 일산서구,1.829878072E9,23.9,4.216459E7,2.3
경기도,성남시 수정구,1.829878072E9,23.9,4.0294185E7,2.2
경기도,성남시 중원구,1.829878072E9,23.9,2.6453721E7,1.4
경기도,성남시 분당구,1.829878072E9,23.9,8.4975803E7,4.6
경기도,수원시 장안구,1.829878072E9,23.9,3.5357421E7,1.9
경기도,수원시 권선구,1.829878072E9,23.9,4.1329432E7,2.3
경기도,수원시 팔달구,1.829878072E9,23.9,6.2685331E7,3.4
경기도,수원시 영통구,1.829878072E9,23.9,5.5447802E7,3.0
경기도,안산시 상록구,1.829878072E9,23.9,2.7995275E7,1.5
경기도,의정부시,1.829878072E9,23.9,4.1578096E7,2.3
경기도,안산시 단원구,1.829878072E9,23.9,5.041244E7,2.8
경기도,안양시 만안구,1.829878072E9,23.9,2.9690099E7,1.6
경기도,부천시,1.829878072E9,23.9,7.0007518E7,3.8
경기도,광명시,1.829878072E9,23.9,4.0082214E7,2.2
경기도,평택시,1.829878072E9,23.9,4.7304875E7,2.6
경기도,동두천시,1.829878072E9,23.9,9476183.0,0.5
경기도,안양시 동안구,1.829878072E9,23.9,4.0220575E7,2.2
경기도,용인시 처인구,1.829878072E9,23.9,4.8674793E7,2.7
경기도,용인시 기흥구,1.829878072E9,23.9,5.7707047E7,3.2
경기도,용인시 수지구,1.829878072E9,23.9,3.4555406E7,1.9
경기도,과천시,1.829878072E9,23.9,2.0192529E7,1.1
경기도,구리시,1.829878072E9,23.9,4.4809115E7,2.4
경기도,남양주시,1.829878072E9,23.9,7.2700469E7,4.0
경기도,오산시,1.829878072E9,23.9,2.8657762E7,1.6
경기도,시흥시,1.829878072E9,23.9,5.3094296E7,2.9
경기도,군포시,1.829878072E9,23.9,2.5582511E7,1.4
경기도,의왕시,1.829878072E9,23.9,2.8610915E7,1.6
경기도,하남시,1.829878072E9,23.9,5.6665662E7,3.1
경기도,파주시,1.829878072E9,23.9,5.428769E7,3.0
경기도,이천시,1.829878072E9,23.9,4.0047484E7,2.2
경기도,안성시,1.829878072E9,23.9,3.7168606E7,2.0
경기도,김포시,1.829878072E9,23.9,5.1030083E7,2.8
경기도,화성시,1.829878072E9,23.9,9.7814354E7,5.3
경기도,광주시,1.829878072E9,23.9,4.7042764E7,2.6
경기도,양주시,1.829878072E9,23.9,3.3147807E7,1.8
경기도,포천시,1.829878072E9,23.9,3.0240164E7,1.7
경기도,여주시,1.829878072E9,23.9,2.6152764E7,1.4
경기도,연천군,1.829878072E9,23.9,9018215.0,0.5
경기도,가평군,1.829878072E9,23.9,2.9038298E7,1.6
경기도,양평군,1.829878072E9,23.9,3.3025057E7,1.8
경상남도,고성군,3.75545829E8,4.9,9280086.0,2.5
경상남도,창원시 의창구,3.75545829E8,4.9,3.3139693E7,8.8
경상남도,창원시 성산구,3.75545829E8,4.9,3.1934937E7,8.5
경상남도,창원시 마산합포구,3.75545829E8,4.9,2.559435E7,6.8
경상남도,창원시 마산회원구,3.75545829E8,4.9,2.0502922E7,5.5
경상남도,창원시 진해구,3.75545829E8,4.9,1.7979661E7,4.8
경상남도,진주시,3.75545829E8,4.9,2.2418765E7,6.0
경상남도,통영시,3.75545829E8,4.9,1.610416E7,4.3
경상남도,사천시,3.75545829E8,4.9,1.5973307E7,4.3
경상남도,김해시,3.75545829E8,4.9,4.31E7,11.5
경상남도,밀양시,3.75545829E8,4.9,1.5080314E7,4.0
경상남도,거제시,3.75545829E8,4.9,2.3238644E7,6.2
경상남도,양산시,3.75545829E8,4.9,3.3105881E7,8.8
경상남도,의령군,3.75545829E8,4.9,4225249.0,1.1
경상남도,함안군,3.75545829E8,4.9,1.0858319E7,2.9
경상남도,창녕군,3.75545829E8,4.9,9482180.0,2.5
경상남도,남해군,3.75545829E8,4.9,8805838.0,2.3
경상남도,하동군,3.75545829E8,4.9,7948763.0,2.1
경상남도,산청군,3.75545829E8,4.9,6968010.0,1.9
경상남도,함양군,3.75545829E8,4.9,5460294.0,1.5
경상남도,거창군,3.75545829E8,4.9,7227736.0,1.9
경상남도,합천군,3.75545829E8,4.9,7116718.0,1.9
경상북도,경주시,3.31608785E8,4.3,4.5139246E7,13.6
경상북도,김천시,3.31608785E8,4.3,1.2570089E7,3.8
경상북도,안동시,3.31608785E8,4.3,1.7082717E7,5.2
경상북도,구미시,3.31608785E8,4.3,2.5274835E7,7.6
경상북도,영주시,3.31608785E8,4.3,8829236.0,2.7
경상북도,영천시,3.31608785E8,4.3,1.2462902E7,3.8
경상북도,상주시,3.31608785E8,4.3,1.2944501E7,3.9
경상북도,문경시,3.31608785E8,4.3,1.0813598E7,3.3
경상북도,경산시,3.31608785E8,4.3,3.0540345E7,9.2
경상북도,군위군,3.31608785E8,4.3,7144423.0,2.2
경상북도,의성군,3.31608785E8,4.3,7128654.0,2.1
경상북도,청송군,3.31608785E8,4.3,5109756.0,1.5
경상북도,영양군,3.31608785E8,4.3,1714794.0,0.5
경상북도,영덕군,3.31608785E8,4.3,1.0068675E7,3.0
경상북도,청도군,3.31608785E8,4.3,1.0408081E7,3.1
경상북도,고령군,3.31608785E8,4.3,6119649.0,1.8
경상북도,성주군,3.31608785E8,4.3,7240501.0,2.2
경상북도,칠곡군,3.31608785E8,4.3,2.0482283E7,6.2
경상북도,예천군,3.31608785E8,4.3,6825602.0,2.1
경상북도,봉화군,3.31608785E8,4.3,4493744.0,1.4
경상북도,울진군,3.31608785E8,4.3,7992776.0,2.4
경상북도,울릉군,3.31608785E8,4.3,1937553.0,0.6
경상북도,포항시 남구,3.31608785E8,4.3,2.9260401E7,8.8
경상북도,포항시 북구,3.31608785E8,4.3,3.0024424E7,9.1
광주광역시,남구,1.896399E8,2.5,2.0097971E7,10.6
광주광역시,동구,1.896399E8,2.5,3.3361044E7,17.6
광주광역시,북구,1.896399E8,2.5,4.562745E7,24.1
광주광역시,광산구,1.896399E8,2.5,4.2883219E7,22.6
광주광역시,서구,1.896399E8,2.5,4.7670216E7,25.1
대구광역시,남구,3.37669446E8,4.4,2.6575606E7,7.9
대구광역시,동구,3.37669446E8,4.4,5.6220663E7,16.6
대구광역시,수성구,3.37669446E8,4.4,4.7339464E7,14.0
대구광역시,달서구,3.37669446E8,4.4,5.2227584E7,15.5
대구광역시,달성군,3.37669446E8,4.4,2.9132937E7,8.6
대구광역시,북구,3.37669446E8,4.4,4.6632248E7,13.8
대구광역시,서구,3.37669446E8,4.4,1.9454487E7,5.8
대구광역시,중구,3.37669446E8,4.4,6.0086458E7,17.8
대전광역시,동구,2.06663723E8,2.7,3.3035598E7,16.0
대전광역시,유성구,2.06663723E8,2.7,5.4756932E7,26.5
대전광역시,대덕구,2.06663723E8,2.7,2.418403E7,11.7
대전광역시,서구,2.06663723E8,2.7,5.5899577E7,27.0
대전광역시,중구,2.06663723E8,2.7,3.8787586E7,18.8
부산광역시,강서구,5.48276899E8,7.2,3.7305608E7,6.8
부산광역시,영도구,5.48276899E8,7.2,1.867532E7,3.4
부산광역시,부산진구,5.48276899E8,7.2,6.901643E7,12.6
부산광역시,동래구,5.48276899E8,7.2,3.3755172E7,6.2
부산광역시,해운대구,5.48276899E8,7.2,6.6635763E7,12.2
부산광역시,사하구,5.48276899E8,7.2,2.2794808E7,4.2
부산광역시,금정구,5.48276899E8,7.2,2.8352333E7,5.2
부산광역시,남구,5.48276899E8,7.2,2.8441413E7,5.2
부산광역시,연제구,5.48276899E8,7.2,2.7226081E7,5.0
부산광역시,수영구,5.48276899E8,7.2,3.700555E7,6.7
부산광역시,사상구,5.48276899E8,7.2,2.6824638E7,4.9
부산광역시,기장군,5.48276899E8,7.2,4.1061792E7,7.5
부산광역시,동구,5.48276899E8,7.2,3.0109456E7,5.5
부산광역시,북구,5.48276899E8,7.2,2.3040444E7,4.2
부산광역시,서구,5.48276899E8,7.2,2.0238285E7,3.7
부산광역시,중구,5.48276899E8,7.2,3.7793806E7,6.9
서울특별시,종로구,1.923369707E9,25.1,1.30297509E8,6.8
서울특별시,강서구,1.923369707E9,25.1,7.6882391E7,4.0
서울특별시,용산구,1.923369707E9,25.1,9.5703035E7,5.0
서울특별시,성동구,1.923369707E9,25.1,5.8213027E7,3.0
서울특별시,광진구,1.923369707E9,25.1,6.6701257E7,3.5
서울특별시,동대문구,1.923369707E9,25.1,5.1751571E7,2.7
서울특별시,중랑구,1.923369707E9,25.1,3.4642726E7,1.8
서울특별시,성북구,1.923369707E9,25.1,4.8721038E7,2.5
서울특별시,강북구,1.923369707E9,25.1,3.1537537E7,1.6
서울특별시,도봉구,1.923369707E9,25.1,2.927663E7,1.5
서울특별시,노원구,1.923369707E9,25.1,5.6231587E7,2.9
서울특별시,은평구,1.923369707E9,25.1,3.6469387E7,1.9
서울특별시,서대문구,1.923369707E9,25.1,7.8799316E7,4.1
서울특별시,마포구,1.923369707E9,25.1,1.136748E8,5.9
서울특별시,양천구,1.923369707E9,25.1,3.8509041E7,2.0
서울특별시,구로구,1.923369707E9,25.1,5.9084363E7,3.1
서울특별시,금천구,1.923369707E9,25.1,2.9523233E7,1.5
서울특별시,영등포구,1.923369707E9,25.1,1.07326114E8,5.6
서울특별시,동작구,1.923369707E9,25.1,5.4089953E7,2.8
서울특별시,관악구,1.923369707E9,25.1,5.7123298E7,3.0
서울특별시,서초구,1.923369707E9,25.1,1.52725814E8,7.9
서울특별시,강남구,1.923369707E9,25.1,2.14134797E8,11.1
서울특별시,송파구,1.923369707E9,25.1,1.17621683E8,6.1
서울특별시,강동구,1.923369707E9,25.1,4.9606508E7,2.6
서울특별시,중구,1.923369707E9,25.1,1.34723092E8,7.0
세종특별자치시,세종특별자치시,3.0599977E7,0.4,3.0599977E7,100.0
울산광역시,남구,1.36623302E8,1.8,4.2642096E7,31.2
울산광역시,동구,1.36623302E8,1.8,1.305707E7,9.6
