기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수,전년도 대비 방문자수 비율,방문자 수(차트)
202201,전국,현지인방문자(a),7.29E+08,6.54E+08,11.4,7.29
202201,전국,외지인방문자(b),2.17E+08,1.70E+08,27.4,2.17
202201,전국,외국인방문자(c),649421,493742,31.5,0.00649421
202201,전국,외부방문자(b+c),2.18E+08,1.71E+08,27.4,2.18
202201,전국,전체방문자(a+b+c),9.46E+08,8.25E+08,14.7,9.46
202202,전국,현지인방문자(a),6.55E+08,6.23E+08,5.27,6.55
202202,전국,외지인방문자(b),1.83E+08,1.90E+08,-3.85,1.83
202202,전국,외국인방문자(c),678823,450320,50.7,0.00678823
202202,전국,외부방문자(b+c),1.84E+08,1.91E+08,-3.72,1.84
202202,전국,전체방문자(a+b+c),8.39E+08,8.13E+08,3.16,8.39
202203,전국,현지인방문자(a),7.52E+08,7.37E+08,1.99,7.52
202203,전국,외지인방문자(b),2.18E+08,2.24E+08,-2.28,2.18
202203,전국,외국인방문자(c),710695,543369,30.8,0.00710695
202203,전국,외부방문자(b+c),2.19E+08,2.24E+08,-2.2,2.19
202203,전국,전체방문자(a+b+c),9.71E+08,9.61E+08,1.01,9.71
202204,전국,현지인방문자(a),7.51E+08,7.10E+08,5.84,7.51
202204,전국,외지인방문자(b),2.25E+08,1.95E+08,15.1,2.25
202204,전국,외국인방문자(c),850824,536953,58.5,0.00850824
202204,전국,외부방문자(b+c),2.26E+08,1.96E+08,15.3,2.26
202204,전국,전체방문자(a+b+c),9.77E+08,9.06E+08,7.88,9.77
202205,전국,현지인방문자(a),8.00E+08,7.60E+08,5.27,8
202205,전국,외지인방문자(b),2.41E+08,2.17E+08,11,2.41
202205,전국,외국인방문자(c),1229222,537261,129,0.01229222
202205,전국,외부방문자(b+c),2.42E+08,2.18E+08,11.3,2.42
202205,전국,전체방문자(a+b+c),1.04E+09,9.77E+08,6.61,10.4
202206,전국,현지인방문자(a),7.78E+08,7.65E+08,1.66,7.78
202206,전국,외지인방문자(b),2.28E+08,2.03E+08,12.4,2.28
202206,전국,외국인방문자(c),1437935,593654,142,0.01437935
202206,전국,외부방문자(b+c),2.29E+08,2.03E+08,12.8,2.29
202206,전국,전체방문자(a+b+c),1.01E+09,9.68E+08,3.99,10.1
202207,전국,현지인방문자(a),8.09E+08,7.55E+08,7.07,8.09
202207,전국,외지인방문자(b),2.71E+08,2.10E+08,29,2.71
202207,전국,외국인방문자(c),1600952,662527,142,0.01600952
202207,전국,외부방문자(b+c),2.73E+08,2.11E+08,29.3,2.73
202207,전국,전체방문자(a+b+c),1.08E+09,9.66E+08,11.9,10.8
202208,전국,현지인방문자(a),7.89E+08,7.36E+08,7.13,7.89
202208,전국,외지인방문자(b),2.52E+08,2.13E+08,18,2.52
202208,전국,외국인방문자(c),780635,717679,8.77,0.00780635
202208,전국,외부방문자(b+c),2.53E+08,2.14E+08,18,2.53
202208,전국,전체방문자(a+b+c),1.04E+09,9.50E+08,9.57,10.4
202209,전국,현지인방문자(a),8.00E+08,7.38E+08,8.4,8
202209,전국,외지인방문자(b),2.56E+08,2.28E+08,12.5,2.56
202209,전국,외국인방문자(c),619380,689324,-10.2,0.0061938
202209,전국,외부방문자(b+c),2.57E+08,2.29E+08,12.4,2.57
202209,전국,전체방문자(a+b+c),1.06E+09,9.66E+08,9.35,10.6
202210,전국,현지인방문자(a),8.23E+08,7.74E+08,6.4,8.23
202210,전국,외지인방문자(b),2.57E+08,2.30E+08,11.9,2.57
202210,전국,외국인방문자(c),784263,783150,0.14,0.00784263
202210,전국,외부방문자(b+c),2.58E+08,2.31E+08,11.8,2.58
202210,전국,전체방문자(a+b+c),1.08E+09,1.00E+09,7.65,10.8
202211,전국,현지인방문자(a),8.18E+08,7.55E+08,8.4,8.18
202211,전국,외지인방문자(b),2.28E+08,2.15E+08,5.94,2.28
202211,전국,외국인방문자(c),713637,1213867,-41.2,0.00713637
202211,전국,외부방문자(b+c),2.29E+08,2.17E+08,5.68,2.29
202211,전국,전체방문자(a+b+c),1.05E+09,9.71E+08,7.79,10.5
202212,전국,현지인방문자(a),8.18E+08,7.59E+08,7.71,8.18
202212,전국,외지인방문자(b),2.21E+08,2.07E+08,6.39,2.21
202212,전국,외국인방문자(c),849900,795957,6.78,0.008499
202212,전국,외부방문자(b+c),2.21E+08,2.08E+08,6.39,2.21
202212,전국,전체방문자(a+b+c),1.04E+09,9.67E+08,7.43,10.4
